LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,Patent Url,IPC,PrimaryClass,First4level,Formatted 1st4Lvl,Filingdate1,B4,B3,B2,B1,O1,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup
2000082088,http://law.lexmachina.com/cases/2000003285,"Canon Inc., v. Copylite Products Corp. et al",2:10-cv-00313,E.D.Va.,2010, 6/29/2010,0,8,7647012,1,7647012,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7647012,G03G 15/08 (20060101),G03G 15/08 ,G03G 15,G03G  15,6/29/2010,3185,3662,3267,3813,2690,3681,3563,4290,3171,"Canon Inc.,",Copylite Products Corp. et al,2271,1,0
2000082128,http://law.lexmachina.com/cases/2000079152,"Gym Door Repairs, Inc. et al v. Young Equipment Sales, Inc. et al",1:15-cv-04244,S.D.N.Y.,2015,  6/2/2015,0,8,5244030,1,5244030,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5244030,E05F 15/10 (20060101); E05F 15/00 (20060101); G01S 17/00 (20060101); G01S 17/88 (20060101); G08B 13/18 (20060101); G08B 13/183 (20060101); E05F 015/20 (),E05F 15/10 ,E05F 15,E05F  15,6/2/2015,619,611,1172,1032,1297,1564,1619,1337,1472,"Gym Door Repairs, Inc. et al","Young Equipment Sales, Inc. et al",3219,1,0
2000082138,http://law.lexmachina.com/cases/1000001213,"BCD Semiconductor Corporation et al v. Power Integrations, Inc.",3:08-cv-00372,N.D.Cal.,2008, 1/18/2008,1,8,"5313381,6107851,6249876",3,5313381,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5313381,H02M 3/24 (20060101); H02M 3/335 (20060101); H02M 001/00 (),H02M 3/24 ,H02M 3,H02M   3,1/18/2008,1021,1210,1059,1253,1242,1339,1249,1394,1245,BCD Semiconductor Corporation et al,"Power Integrations, Inc.",2071,1,0
2000082154,http://law.lexmachina.com/cases/5009,"The Form House, Inc. v. Team Services, Inc.",1:05-cv-04175,N.D.Ill.,2005, 7/20/2005,0,8,6688648,1,6688648,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6688648,B42D 1/00 (20060101); G11B 33/04 (20060101); G11B 23/38 (20060101); G11B 23/40 (20060101); B42D 019/00 (),B42D 1/00 ,B42D 1,B42D   1,7/20/2005,137,171,122,137,104,95,113,105,127,"The Form House, Inc.","Team Services, Inc.",5448,1,0
2000082275,http://law.lexmachina.com/cases/2000025761,ABBOTT LABORATORIES et al v. MYLAN PHARMACEUTICALS INC. et al,2:11-cv-04966,D.N.J.,2011, 8/26/2011,0,8,"6277405,6652881,7037529,7041319",4,6277405,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6277405,A61K 9/16 (20060101); A61K 9/20 (20060101); A61K 31/216 (20060101); A61K 31/215 (20060101); A61K 31/21 (20060101); A61K 009/16 (); A61K 009/20 (); A61K 009/50 (),A61K 9/16 ,A61K 9,A61K   9,8/26/2011,7953,9545,7607,9286,8344,8582,7714,7783,7675,ABBOTT LABORATORIES et al,MYLAN PHARMACEUTICALS INC. et al,1582,0,2
2000082276,http://law.lexmachina.com/cases/2000082276,Micro Design LLC v. Panasonic Corporation,1:15-cv-00817,D.Del.,2015, 9/15/2015,0,1,7437535,1,7437535,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7437535,G06F 9/312 (20060101),G06F 9/312,G06F 9,G06F   9,9/15/2015,7306,8362,7055,7209,7844,8578,6475,7146,5585,Micro Design LLC,Panasonic Corporation,489,0,2
2000082281,http://law.lexmachina.com/cases/49410,"Dysarz v. All-Luminum Products, Inc.",2:08-cv-00402,E.D.Tex.,2008,10/20/2008,0,9,5120016,1,5120016,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5120016,A01K 97/10 (20060101); A01K 097/10 (),A01K 97/10 ,A01K 97,A01K  97,10/20/2008,171,150,238,190,179,181,200,153,165,Dysarz,"All-Luminum Products, Inc.",6138,1,0
2000082288,http://law.lexmachina.com/cases/2000082288,Cellular Communications Equipment LLC v. Pantech Co. Ltd,6:15-cv-00853,E.D.Tex.,2015, 9/14/2015,0,1,"6810019, 6819923, 7215962, 7941174, 8055820",5,6810019,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6810019,H04Q 7/38 (20060101); H04Q 007/38 (); H04B 007/26 (),H04Q 7/38,H04Q 7,H04Q   7,9/14/2015,14,9,12,23,8,3,3,9,0,Cellular Communications Equipment LLC,Pantech Co. Ltd,134,0,7
2000082311,http://law.lexmachina.com/cases/3199,Wyeth et al v. The Trustees of Columbia University in the City of New York,1:03-cv-11570,D.Mass.,2003, 8/20/2003,1,6,"4399216,4634665,5179017,6455275",4,4399216,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=4399216,C12P 21/02 (20060101); C12N 15/85 (20060101); C12N 15/87 (20060101); C12N 015/00 (); C12N 005/00 (); C12P 021/00 (); C12Q 001/68 (); C12Q 001/02 (); C12Q 001/04 (),C12P 21/02 ,C12P 21,C12P  21,8/20/2003,4446,3708,2733,2464,2409,2084,1974,1982,1995,Wyeth et al,The Trustees of Columbia University in the City of New York,1526,1,0
2000082346,http://law.lexmachina.com/cases/11832,Van Romer et al v. Barrett et al,8:05-cv-03190,D.S.C.,2005,11/14/2005,0,"8, 9",5762233,1,5762233,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5762233,B64F 5/00 (20060101); F16N 31/00 (20060101); B65D 001/37 (),B64F 5/00 ,B64F 5,B64F   5,11/14/2005,61,61,77,29,58,37,33,72,90,Van Romer et al,Barrett et al,7154,1,2
