LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,IPC Url ,IPC,PrimaryClass,First4level,Filingdate1,B4,B3,B2,B1,Q0,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup,,,,,,,
No Patents Available (On Lex Machina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000148,http://law.lexmachina.com/cases/1000000148,"Methode Electronics, et al v. Hewlett-Packard Co, et al",5:00-cv-20985,N.D.Cal.,2000, 9/11/2000,0,8,No Patents Available from Lex Machina,,,,,,,9/11/2000,Not Available,,,,,,,,,"Methode Electronics, et al","Hewlett-Packard Co, et al",4021,0,1,,,,,,,
1000000153,http://law.lexmachina.com/cases/1000000153,"Dolby Laboratories, et al v. Lucent Technologies",5:00-cv-21270,N.D.Cal.,2000,12/19/2000,0,"8, 12",No Patents Available from Lex Machina,,,,,,,12/19/2000,Not Available,,,,,,,,,"Dolby Laboratories, et al",Lucent Technologies,6843,1,0,,,,,,,
1000000155,http://law.lexmachina.com/cases/1000000155,"United Micro, et al v. U.S. International, et al",5:01-cv-20118,N.D.Cal.,2000,12/15/2000,0,8,No Patents Available from Lex Machina,,,,,,,12/15/2000,Not Available,,,,,,,,,"United Micro, et al","U.S. International, et al",5668,1,0,,,,,,,
1000000165,http://law.lexmachina.com/cases/1000000165,"FCI USA Inc., et al v. Foxconn Intl, et al",3:01-cv-01192,N.D.Cal.,2001, 3/23/2001,0,"8, 12",No Patents Available from Lex Machina,,,,,,,3/23/2001,Not Available,,,,,,,,,"FCI USA Inc., et al","Foxconn Intl, et al",6847,1,0,,,,,,,
1000000175,http://law.lexmachina.com/cases/1000000175,Alderman v. Bristol-Myers Squibb Co.,3:01-cv-01615,N.D.Cal.,2001, 4/24/2001,0,9,No Patents Available from Lex Machina,,,,,,,4/24/2001,Not Available,,,,,,,,,Alderman,Bristol-Myers Squibb Co.,6034,1,0,,,,,,,
1000000178,http://law.lexmachina.com/cases/1000000178,"ATMI, Inc. et al v. Innovative Engineering Solutions, Inc.",3:01-cv-01729,N.D.Cal.,2001,  5/3/2001,0,8,No Patents Available from Lex Machina,,,,,,,5/3/2001,Not Available,,,,,,,,,"ATMI, Inc. et al","Innovative Engineering Solutions, Inc.",1956,1,0,,,,,,,
1000000182,http://law.lexmachina.com/cases/1000000182,"Logitech Inc. v. Par Technologies, Inc.",3:01-cv-01983,N.D.Cal.,2001, 5/21/2001,1,8,No Patents Available from Lex Machina,,,,,,,5/21/2001,Not Available,,,,,,,,,Logitech Inc.,"Par Technologies, Inc.",3823,1,0,,,,,,,
1000000190,http://law.lexmachina.com/cases/1000000190,"Giga Semiconductor, Inc. v. Integrated Device Technology, Inc.",3:01-cv-02368,N.D.Cal.,2001, 6/20/2001,1,8,No Patents Available from Lex Machina,,,,,,,6/20/2001,Not Available,,,,,,,,,"Giga Semiconductor, Inc.","Integrated Device Technology, Inc.",3131,1,0,,,,,,,
1000000212,http://law.lexmachina.com/cases/1000000212,Motion Sense Corporation v. Vega Vista Inc.,3:01-cv-03984,N.D.Cal.,2001,10/23/2001,0,8,No Patents Available from Lex Machina,,,,,,,10/23/2001,Not Available,,,,,,,,,Motion Sense Corporation,Vega Vista Inc.,4123,1,0,,,,,,,
1000000213,http://law.lexmachina.com/cases/1000000213,"WRB Company, Inc. v. TT Technologies, Inc.",3:01-cv-03992,N.D.Cal.,2001,10/23/2001,0,8,No Patents Available from Lex Machina,,,,,,,10/23/2001,Not Available,,,,,,,,,"WRB Company, Inc.","TT Technologies, Inc.",5951,1,0,,,,,,,
1000000214,http://law.lexmachina.com/cases/1000000214,"Cogliano v. Toys R Us, Inc.",3:01-cv-04013,N.D.Cal.,2001,10/25/2001,0,9,No Patents Available from Lex Machina,,,,,,,10/25/2001,Not Available,,,,,,,,,Cogliano,"Toys R Us, Inc.",6105,1,0,,,,,,,
1000000220,http://law.lexmachina.com/cases/1000000220,Vigil v. Walt Disney Company et al,3:01-cv-04250,N.D.Cal.,2001,11/14/2001,0,9,No Patents Available from Lex Machina,,,,,,,11/14/2001,Not Available,,,,,,,,,Vigil,Walt Disney Company et al,6468,0,2,,,,,,,
1000000221,http://law.lexmachina.com/cases/1000000221,ECast Inc. v. Touchtunes Music Corporation,3:01-cv-04298,N.D.Cal.,2001,11/16/2001,0,8,No Patents Available from Lex Machina,,,,,,,11/16/2001,Not Available,,,,,,,,,ECast Inc.,Touchtunes Music Corporation,2770,1,0,,,,,,,
1000000224,http://law.lexmachina.com/cases/1000000224,Tumbleweed Communications Corp v. American Greetings Corporation,3:01-cv-04676,N.D.Cal.,2001, 12/3/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/3/2001,Not Available,,,,,,,,,Tumbleweed Communications Corp,American Greetings Corporation,5622,1,1,,,,,,,
1000000225,http://law.lexmachina.com/cases/1000000225,"Mindfabric, Inc. v. Primus Knowledge Solutions, Inc.",3:01-cv-04703,N.D.Cal.,2001, 12/4/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/4/2001,Not Available,,,,,,,,,"Mindfabric, Inc.","Primus Knowledge Solutions, Inc.",4071,1,0,,,,,,,
1000000230,http://law.lexmachina.com/cases/1000000230,"Lumenis, Inc. v. Altus Medical, Inc.",3:01-cv-05370,N.D.Cal.,2001,12/27/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/27/2001,Not Available,,,,,,,,,"Lumenis, Inc.","Altus Medical, Inc.",3840,1,0,,,,,,,
1000000231,http://law.lexmachina.com/cases/1000000231,"Getters v. Aeronex, Inc.",3:01-cv-05457,N.D.Cal.,2001,12/28/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/28/2001,Not Available,,,,,,,,,Getters,"Aeronex, Inc.",3127,1,0,,,,,,,
1000000248,http://law.lexmachina.com/cases/1000000248,"Avigen,Inc. v. Research Corporation Technologies,Inc.,",3:02-cv-00880,N.D.Cal.,2002, 2/21/2002,0,8,No Patents Available from Lex Machina,,,,,,,2/21/2002,Not Available,,,,,,,,,"Avigen,Inc.","Research Corporation Technologies,Inc.,",1999,1,0,,,,,,,
1000000255,http://law.lexmachina.com/cases/1000000255,"ABB Automation Inc., v. Honeywell Corporation",3:02-cv-01526,N.D.Cal.,2002, 3/29/2002,0,8,No Patents Available from Lex Machina,,,,,,,3/29/2002,Not Available,,,,,,,,,"ABB Automation Inc.,",Honeywell Corporation,1572,1,0,,,,,,,
1000000257,http://law.lexmachina.com/cases/1000000257,"Leapfrog Enterprises, Inc. v. Franklin Electronic Publishers, Inc.",3:02-cv-01676,N.D.Cal.,2002,  4/8/2002,0,8,No Patents Available from Lex Machina,,,,,,,4/8/2002,Not Available,,,,,,,,,"Leapfrog Enterprises, Inc.","Franklin Electronic Publishers, Inc.",3735,1,0,,,,,,,
1000000259,http://law.lexmachina.com/cases/1000000259,"Radiotherapeutics Corporation et al v. Rita Medical Systems, Inc.",3:02-cv-01745,N.D.Cal.,2002, 4/11/2002,0,"6, 8",No Patents Available from Lex Machina,,,,,,,4/11/2002,Not Available,,,,,,,,,Radiotherapeutics Corporation et al,"Rita Medical Systems, Inc.",6790,1,1,,,,,,,
1000000271,http://law.lexmachina.com/cases/1000000271,"Good Technology, Inc. v. Research In Motion Corporation et al",3:02-cv-02348,N.D.Cal.,2002, 5/15/2002,0,8,No Patents Available from Lex Machina,,,,,,,5/15/2002,Not Available,,,,,,,,,"Good Technology, Inc.",Research In Motion Corporation et al,3177,1,0,,,,,,,
1000000273,http://law.lexmachina.com/cases/1000000273,Propat International Corp v. RPost Inc. et al,3:02-cv-02473,N.D.Cal.,2002, 5/21/2002,0,1,No Patents Available from Lex Machina,,,,,,,5/21/2002,Not Available,,,,,,,,,Propat International Corp,RPost Inc. et al,612,1,1,,,,,,,
1000000282,http://law.lexmachina.com/cases/1000000282,"Gateway Inc. v. Electronics for Imaging, Inc. et al",3:02-cv-03085,N.D.Cal.,2002, 6/27/2002,0,8,No Patents Available from Lex Machina,,,,,,,6/27/2002,Not Available,,,,,,,,,Gateway Inc.,"Electronics for Imaging, Inc. et al",3082,1,0,,,,,,,
1000000303,http://law.lexmachina.com/cases/1000000303,Vigil v. The Walt Disney Company et al,3:02-cv-04002,N.D.Cal.,2002, 8/19/2002,0,9,No Patents Available from Lex Machina,,,,,,,8/19/2002,Not Available,,,,,,,,,Vigil,The Walt Disney Company et al,6468,1,1,,,,,,,
1000000306,http://law.lexmachina.com/cases/1000000306,"Fresh Express, Incorporated v. Diamond Produce, LLC",3:02-cv-04192,N.D.Cal.,2002,  9/3/2002,0,8,No Patents Available from Lex Machina,,,,,,,9/3/2002,Not Available,,,,,,,,,"Fresh Express, Incorporated","Diamond Produce, LLC",3041,1,0,,,,,,,
1000000314,http://law.lexmachina.com/cases/1000000314,"Nellcor Puritan Bennett, Inc. et al v. Sensidyne Inc.",3:02-cv-04622,N.D.Cal.,2002, 9/24/2002,0,8,No Patents Available from Lex Machina,,,,,,,9/24/2002,Not Available,,,,,,,,,"Nellcor Puritan Bennett, Inc. et al",Sensidyne Inc.,4200,0,2,,,,,,,
1000000323,http://law.lexmachina.com/cases/1000000323,"Radiotherapeutics Corporation et al v. Rita Medical Systems, Inc.",3:02-cv-05005,N.D.Cal.,2002,10/16/2002,0,"6, 8",No Patents Available from Lex Machina,,,,,,,10/16/2002,Not Available,,,,,,,,,Radiotherapeutics Corporation et al,"Rita Medical Systems, Inc.",6790,0,2,,,,,,,
